Longitude,Latitude
-78.271389,-3.179167
-77.94666,-1.57611
-78.1,-1.45
-76.38333,-0.68333
-77.31666,-0.63333
-79.3,-0.61666
-76.465278,-0.6075
-79.36666,-0.58333
-79.32611,-0.25055
-76.2,0
-79.033333,0.083333
-76.725,0.13055
-79.066667,0.15
-79.73,0.35
-78.666667,1.25
-58.9569,1.3553
-75.89408,1.44847
-59.239722,1.528611
-59.25,2
-59.5,2.75
-77.3026,3.278725
-76.876517,3.573533
-56.535,3.64
-77.086963,4.072312
-52.47,4.57
-59.72,4.68
-53.03333,4.98333
-59.88,5.07
-52.92,5.25
-77.4,5.4
-53.96,5.51
-76.6809,5.609383
-58.35,5.61
-59.9,5.95
-77.378617,6.2747
-74.75,6.5
-58.6,6.62
-77.45,6.85
-58.7,7.17
-75.07,7.3
-77.8,7.58333
-74.92,8.33
-83.343056,8.416667
-81.116667,8.5
-80.1165,8.630667
-83.1633,8.6531
-83.37,8.77
-80.654167,8.887778
-80.6825,9.003889
-79.85833,9.15277
-79.4017,9.2411
-83.5,9.25
-72.47,9.3
-78.916667,9.316667
-83.692948,9.352396
-84.39,9.7
-84.607778,10.214722
-84.17333,10.26444
-84.083333,10.266667
-84.716667,10.316667
-84.1,10.4
-84.01666,10.43333
-83.96666,10.8
-84.45,10.816667
-85.35,10.85
-85.333333,10.916667
-85.436556,10.947574
-84.266667,10.983333
-84.2,11.016667
-85.421667,11.033333
-84.34888,11.06638
-84.183333,11.15
-84.27833,11.16138
-84.016667,11.366667
-84.042,12.167
-84.016667,12.3
-85.93333,12.93333
-85.31666,13.98333
-85.320833,14.230278
-83.65,14.333333
-85.15,14.383333
-87.433333,15.5
-86.66666,15.66666
-87.475,15.691667
-86.85,15.7
-91.566667,16.116667
-89.017778,16.465
-94.783333,17.041667
-94.2917,17.23
-76.35,18.016667
-74.833333,5.916667
-40.080869,-13.561566
-70.5,0.083
-66.42,1.08
-66.4749,1.25003
-66.92,1.42
-66.83,1.42
-66.483333,2.033333
-66.6,3.55
-76.65,-7.95
-78.63333,-4.5
-77.95,-1.77
-77.887469,-1.529725
-77.983333,-1.466667
-52.7,4.05
-58.780556,4.338056
-58.787778,4.470556
-54.620556,4.800833
-65.5357,3.38324
-65.33,3.5
-65.33,3.83
-66.5,3.37
-76.9283,3.875328
