Longitude,Latitude
-60.58192,6.3789
-73.75,-4.92
-70.67,-0.5
-70.5,-0.25
-70.551644,0.050725
-67.308611,-15.523611
-67.516667,-15.15
-67.05,1.93
-73.5725,-4.4422
-65.63,1.4
-66.1327,1.51124
-70.25,-3.78
-75.7,-2.55
-76.92,-1.25
-75.783333,-1.016667
-75.783333,-0.633333
-75.883333,-0.266667
-76.18333,0.01666
-76.17,0.9
-54.75,2.52
-52.4,4.15
-53.78,5.66
-73.5,-3.67
-50.166667,-0.616667
-70.67,-0.5
-66.17,0.83
-65.75,3.67
-63.35,4.78
-65.88333,3.13333
-65.6667,3.41667
