species,Longitude,Latitude
Aciotis_purpurascens,-70.5,0.75
Aciotis_purpurascens,-70.08,1
Aciotis_purpurascens,-58.7,1.37
Aciotis_purpurascens,-58.6292,1.6517
Aciotis_purpurascens,-59.566667,2
Aciotis_purpurascens,-59.25,2.08
Aciotis_purpurascens,-59.96666,2.88333
Aciotis_purpurascens,-59.38,3.13
Aciotis_purpurascens,-58.533333,3.133333
Aciotis_purpurascens,-74.3617,3.2267
Aciotis_purpurascens,-59.47,3.37
Aciotis_purpurascens,-53.2,3.62
Aciotis_purpurascens,-56.533,3.642
Aciotis_purpurascens,-51.87,3.75
Aciotis_purpurascens,-59.07,4.08
Aciotis_purpurascens,-73.63,4.1
Aciotis_purpurascens,-59.05,4.17
Aciotis_purpurascens,-54.765833,4.201111
Aciotis_purpurascens,-52.366667,4.3
Aciotis_purpurascens,-56.93,4.52
Aciotis_purpurascens,-52.88,4.55
Aciotis_purpurascens,-58.67,4.67
Aciotis_purpurascens,-55,4.7
Aciotis_purpurascens,-63.35,4.78
Aciotis_purpurascens,-55.21,4.88
Aciotis_purpurascens,-55.2,4.97
Aciotis_purpurascens,-61.17,5
Aciotis_purpurascens,-59.8,5.05
Aciotis_purpurascens,-60.016667,5.095833
Aciotis_purpurascens,-59.80986,5.12994
Aciotis_purpurascens,-58.7475,5.1611
Aciotis_purpurascens,-59.12,5.2
Aciotis_purpurascens,-63.983333,5.3
Aciotis_purpurascens,-61.05,5.32
Aciotis_purpurascens,-58.67,5.33
Aciotis_purpurascens,-58.5,5.333333
Aciotis_purpurascens,-54.666667,5.333333
Aciotis_purpurascens,-54,5.42
Aciotis_purpurascens,-58.77,5.43
Aciotis_purpurascens,-60.07,5.47
Aciotis_purpurascens,-67.25,5.58
Aciotis_purpurascens,-60.28,5.63
Aciotis_purpurascens,-58,5.67
Aciotis_purpurascens,-60.28,5.7
Aciotis_purpurascens,-60.58,5.75
Aciotis_purpurascens,-74.866667,5.833333
Aciotis_purpurascens,-74.83,5.92
Aciotis_purpurascens,-75,6
Aciotis_purpurascens,-61.08,6
Aciotis_purpurascens,-60.17,6
Aciotis_purpurascens,-74.26694,6.04178
Aciotis_purpurascens,-75.1,6.05
Aciotis_purpurascens,-64.38,6.23
Aciotis_purpurascens,-77.381083,6.269933
Aciotis_purpurascens,-67.25,6.28
Aciotis_purpurascens,-76.43,6.35
Aciotis_purpurascens,-71.739636,6.479181
Aciotis_purpurascens,-58.65,6.5
Aciotis_purpurascens,-58.35,6.57
Aciotis_purpurascens,-59.73,6.78
Aciotis_purpurascens,-66.5,6.92
Aciotis_purpurascens,-77.633333,6.966667
Aciotis_purpurascens,-71.933333,7.15
Aciotis_purpurascens,-59.7,7.37
Aciotis_purpurascens,-72.05,7.52
Aciotis_purpurascens,-72.22,7.6
Aciotis_purpurascens,-59.92,7.62
Aciotis_purpurascens,-71.78,7.625
Aciotis_purpurascens,-71.47,7.68
Aciotis_purpurascens,-77.666667,7.75
Aciotis_purpurascens,-71.62,8.02
Aciotis_purpurascens,-75.066667,8.033333
Aciotis_purpurascens,-61.833333,8.083333
Aciotis_purpurascens,-70.583333,8.516667
Aciotis_purpurascens,-70.65,8.53
Aciotis_purpurascens,-71.2333,8.55
Aciotis_purpurascens,-70.67,8.62
Aciotis_purpurascens,-70.5,8.82
Aciotis_purpurascens,-71.68,8.92
Aciotis_purpurascens,-72.83,9.17
Aciotis_purpurascens,-72.58,9.52
Aciotis_purpurascens,-72.8986,9.5917
Aciotis_purpurascens,-68.625,10.23
Aciotis_purpurascens,-68.07,10.38
Aciotis_purpurascens,-62.624444,10.694167
Aciotis_rubricaulis,-64.1131,-17.3753
Aciotis_rubricaulis,-65.0342,-17.0108
Aciotis_rubricaulis,-65.4192,-17.0025
Aciotis_rubricaulis,-64.816667,-17
Aciotis_rubricaulis,-68.52,-15.33
Aciotis_rubricaulis,-68.1667,-15.25
Aciotis_rubricaulis,-68.5122,-15.1511
Aciotis_rubricaulis,-39.08,-15.15
Aciotis_rubricaulis,-67.92,-14.42
Aciotis_rubricaulis,-67.9708,-14.3492
Aciotis_rubricaulis,-71.2,-13.12
Aciotis_rubricaulis,-69.33,-12.83
Aciotis_rubricaulis,-70.77,-12.28
Aciotis_rubricaulis,-68.3,-12.016667
Aciotis_rubricaulis,-71,-11.75
Aciotis_rubricaulis,-71.92,-11.67
Aciotis_rubricaulis,-65.6333,-10.5333
Aciotis_rubricaulis,-70.95,-10.2
Aciotis_rubricaulis,-78,-8
Aciotis_rubricaulis,-70.18,-6.78
Aciotis_rubricaulis,-78.7978,-4.0383
Aciotis_rubricaulis,-78.58,-3.92
Aciotis_rubricaulis,-78.4433,-3.6206
Aciotis_rubricaulis,-78.4406,-3.0586
Aciotis_rubricaulis,-78.083333,-1.466667
Aciotis_rubricaulis,-78.0553,-1.3906
Aciotis_rubricaulis,-77.67,-0.72
Aciotis_rubricaulis,-78,-0.07
Aciotis_rubricaulis,-79.4,0.066667
Aciotis_rubricaulis,-79.03,0.08
Aciotis_rubricaulis,-78.6289,0.1239
Aciotis_rubricaulis,-79.2,0.3
Aciotis_rubricaulis,-78.916667,0.8
Aciotis_rubricaulis,-78.1,0.9
Aciotis_rubricaulis,-78.183333,0.933333
Aciotis_rubricaulis,-77.92,1.17
Aciotis_rubricaulis,-78.577778,1.191111
Aciotis_rubricaulis,-76.876517,3.573533
Aciotis_rubricaulis,-77.010556,3.849722
Aciotis_rubricaulis,-77.17,4.17
Aciotis_rubricaulis,-56.783333,4.733333
Aciotis_rubricaulis,-76.65,5.275
Aciotis_rubricaulis,-76.08,5.43
Aciotis_rubricaulis,-83.311111,8.408333
Aciotis_rubricaulis,-81.116667,8.55
Aciotis_rubricaulis,-80.116667,8.616667
Aciotis_rubricaulis,-80.183056,8.681111
Aciotis_rubricaulis,-83.566666,8.7
Aciotis_rubricaulis,-83.266667,8.75
Aciotis_rubricaulis,-80.673889,8.821111
Aciotis_rubricaulis,-79.4125,9.166111
Aciotis_rubricaulis,-79.75,9.216667
Aciotis_rubricaulis,-78.966667,9.266667
Aciotis_rubricaulis,-78.916667,9.316667
Aciotis_rubricaulis,-79.583333,9.4
Aciotis_rubricaulis,-79.666667,9.5
Aciotis_rubricaulis,-83.540278,9.815278
Aciotis_rubricaulis,-84.3,10.216667
Aciotis_rubricaulis,-84.033333,10.283334
Aciotis_rubricaulis,-84.00361,10.43138
Aciotis_rubricaulis,-83.5,10.533334
Aciotis_rubricaulis,-83.788887,10.602777
Aciotis_rubricaulis,-83.736107,10.643886
Aciotis_rubricaulis,-83.666664,10.666667
Aciotis_rubricaulis,-84.47361,11.04166
Aciotis_rubricaulis,-84.30083,11.11083
Aciotis_rubricaulis,-84.366667,11.116667
Aciotis_rubricaulis,-84.237778,11.239444
Aciotis_rubricaulis,-84.35,11.566667
